clauses,label
except note prequalifi depart elig bid,0
depart requir bidder prequalifi contractor bid construct contract less construct build,1
construct contract requir prequalif file applic qualif use depart onlin prequalif applic system give detail inform respect financi resourc equip past record personnel experi,0
person affili place convict vendor list follow convict public entiti crime may submit follow,1
person affili place convict vendor list follow convict public entiti crime may award perform work contractor supplier subcontractor consult contract public entiti may transact busi public entiti excess threshold amount provid,1
plan specif document design advertis part propos whether attach,0
upon advertis depart make propos form avail download electron file onlin order system provid propos form portabl electron media stipul advertis,0
depart respons loss damag portabl electron media receiv deliv bidder,1
bidder request replac propos form depart attempt provid replac overnight deliveri electron transmitt file,0
unless otherwis indic advertis bidder option submit bid either internet bid submitt accord,1
prequalifi contractor bid contract must certifi total dollar amount work underway submit form spreadsheet similar format prior submit bid,1
email address provid bidder time registr onlin order use transmit notif modif,1
bidder shall take respons download revis inform per instruct includ notif modif,0
depart respons commun machin breakdown transmiss interrupt delay problem interfer receipt propos requir either bidder transmit locat depart receiv locat anywher locat,1
depart accept offici bid set propos form gener depart bid softwar along complet propos packag deliv depart hard copi accord instruct list requir,1
print submit bid item sheet gener depart bid softwar letter size paper,1
return depart bid softwar gener propos offici bid propos label bidder name vendor number let date revis date applic propos id,0
depart assum respons incident inform bid document may constru quantiti work materi,1
depart also use quantiti final payment limit provis individu item,0
item variabl final pay quantiti depend actual field condit use measur quantiti shown plan propos form approxim provid basi calcul bid upon depart award contract,1
item list payment lump sum unit plan show estim compon quantiti depart respons accuraci quantiti limit provis,0
item list payment lump sum unit plan show estim compon quantiti bidder sole respons estim quantiti,0
depart may increas decreas omit estim quantiti work done materi furnish,1
examin contract document site propos work care submit propos work contempl,1
investig condit encount charact qualiti quantiti work perform materi furnish requir contract document,1
depart guarante detail pertain bore shown plan gener indic materi like found adjac hole bore site work approxim locat indic,1
bidder submiss propos prima faci evid bidder made examin describ articl,0
id author parti oblig firm bid,0
depart consid bid unless acknowledg includ,1
depart consid bid unless form properli complet accord requir shown thereon,1
propos irregular depart may reject propos propos show omiss alter form addit specifi requir condit unauthor altern bid irregular kind unit price obvious unbalanc cost excess reason cost analysi valu bidder submit propos gener use depart bid softwar,1
depart provid altern bid propos form make one entri altern,1
depart consid propos unless accompani propos guaranti charact amount indic advertis unless made payabl florida depart transport,1
bidder propos guaranti bind project includ contract award contractor pursuant provis subarticl,0
submit propos seal envelop bear outsid name bidder bidder address propos id project bidder submit bid,1
bidder may revis propos time prior bid submitt deadlin specifi advertis,1
depart respons commun machin breakdown transmiss interrupt delay problem interfer receipt revis propos requir either bidder transmit locat depart receiv locat anywher locat,1
receipt non receipt revis propos consid ground bid protest,0
legibl facsimil fax propos chang accept receiv full fax number list bid solicit notic time propos due day let provid follow condit met,1
depart respons commun fax machin breakdown transmiss interrupt delay problem interfer receipt fax propos chang requir either bidder fax locat depart fax locat anywher locat,1
depart open publicli announc propos time place indic advertis,0
depart may requir bidder furnish statement origin composit manufactur materi use construct work togeth sampl may subject test provid specif determin materi qualiti fit work,1
purpos award open read propos depart consid bid correct summat unit bid price multipli estim quantiti shown propos,0
depart reserv right delet bid portion util reloc work contract,0
event depart delet util reloc work contract util owner reloc util accord backup util reloc schedul contain contract document,0
day open propos unless special provis chang time limit bidder depart extend time period mutual consent,1
prior award contract depart bidder must provid proof author conduct busi state florida,0
depart reserv right cancel award contract time execut contract parti compens due bidder,0
depart releas propos guaranti except two lowest respons bidder immedi follow open check propos,1
within calendar day exclud saturday sunday state holiday receipt contract award execut necessari agreement enter contract depart return contract along satisfactori contract bond document evidenc insur requir depart contract offic award contract,1
depart execut contract within calendar day exclud saturday sunday state holiday receipt sign contract necessari agreement contract bond requir document contractor,1
event contractor fail execut award contract submit accept contract bond prescrib within calendar day exclud saturday sunday state holiday receipt contract award depart may annul award caus contractor forfeit propos guaranti depart liquid damag sustain,1
upon execut contract depart reserv right conduct audit contractor record pertain project,0
retain record pertain contract period less three year date engin final accept project unless longer minimum period otherwis specifi,1
contractor fail compli requir depart may disqualifi suspend contractor bid work subcontractor futur contract,1
ensur subcontractor provid access record pertain project upon request depart,0
depart may requir altern mean secur waiv requir contract bond,1
depart copi request record allow record inspect copi within reason time cost exceed cost provid chapter florida statut otherwis provid law,1
failur compli chapter florida statut articl shall ground immedi unilater termin contract depart pursuant,0
intent contract provid construct complet everi detail work describ contract,0
upon execut contract conduct written commun associ contract use paperless electron mean,0
document requir signatur must execut electron parti accord chapter florida statut forc effect written signatur,0
propos construct contractu requir cover standard specif may cover contract plan note supplement specif special provis contract requir supplement specif special provis shall consid part specif,1
determin engin shall conclus,0
notwithstand contractor shall formal right whatsoev extra compens time extens deem due contractor caus unless contractor follow procedur set forth,1
contractor shall request equit adjust compens time disput resolut propos certifi oath write accord formal requir florida law request made good faith support data submit accur complet contractor best knowledg belief amount request accur reflect contractor good faith believ depart respons,1
submitt review duli certifi request equit adjust shall neither creat modifi activ legal right oblig contractor depart depart review content duli certifi request equit adjust disput resolut propos action inact depart thereaft sole discret,1
monetari compens provid constitut full complet payment addit work contractor shall right addit monetari compens direct indirect cost profit addit work beyond expressli provid,1
contractor shall entitl time extens extent perform portion addit work control work item perform control work item actual extend complet project,1
certif must made offic director contractor author bind contractor,0
use project contractor receiv actual cost materi incorpor work includ contractor paid transport charg exclus equip hereinaft set forth,0
engin standbi project site need complet work cost move equip exceed accumul standbi cost,1
standbi payment made day normal consid work day project,0
contractor shall requir subcontractor submit certif accord,1
supplement agreement unilater payment may use expand physic limit project extent necessari make project function oper accord intent origin contract,1
perform work cover supplement agreement unilater payment written author receiv engin,0
limit construct begin end project detail plan,0
necessari connect exist walk drive indic plan engin submit direct regard proper connect accord standard plan,1
upon receipt written notif differ site condit contractor engin investig condit determin condit materi differ caus increas decreas cost time requir perform work contract adjust made exclud loss anticip profit contract modifi write accordingli,1
engin allow contract adjust differ site condit unless contractor submit requir written notic,1
engin allow contract adjust claus effect caus depart non depart project contractor may work,1
contractor sole respons util impact cost delay damag whether direct indirect result contractor initi chang design construct activ origin contract specif design plan includ traffic control plan contract document effect chang util work differ shown util plan joint project agreement util reloc schedul,1
elimin agre write contractor depart,0
propos submit propos chang design pavement system would requir addit right way,1
requir includ time extens request propos chang compar advantag disadvantag,0
engin sole judg accept propos estim net save construct cost adopt part propos,1
prior approv engin may modifi propos concurr contractor make accept,1
prior approv propos initi supplement agreement submit accept contract qualiti plan sheet revis show detail consist propos design,1
propos adopt contractor share net save defin hereinaft repres full compens contractor propos,0
depart includ cost process implement propos estim,0
bridg plan relat propos shall undergo independ peer review conduct singl independ engin firm refer purpos articl independ review engin origin propos design pre qualifi depart accord rule florida administr code,0
seal submitt cover letter state comment adequ address design complianc depart requir,1
contractor shall design primari engin respons propos design design contractor engin record propos design,0
new design independ peer review shall complianc applic depart fhwa aashto criteria requir includ bridg load rate,1
contractor shall receiv net reduct cost perform contract determin final negoti agreement contractor depart,0
engin cost base consult certifi invoic may includ cost independ review engin,1
propos submitt shall identifi specif form intellectu properti right either contractor offic sharehold employe consult affili contractor entiti contribut measur substanc contractor propos develop may whole part implic propos,1
provis standard specif upon accept propos contractor herebi grant depart contractor grant expressli limit sole exist futur depart construct project depart project partial wholli fund depart royalti free perpetu licens form intellectu properti right manufactur use design construct disclos reproduc prepar fulli util deriv work distribut display publish whole part permit other otherwis manner purpos whatsoev anyth reason necessari fulli util aspect propos exist futur construct project depart project,1
contractor shall hold harmless indemnifi defend depart contractor other priviti therewith claim liabil oblig loss reason expens relat thereto includ reason attorney fee incur suffer breach forego grant regardless whether intellectu properti right disclos contractor pursuant,0
depart requir work cover price contract work constitut signific chang defin,1
upon complet work depart accept work make final payment remov right way adjac properti falsework equip surplu discard materi rubbish temporari structur restor accept manner properti public privat damag prosecut work leav waterway unobstruct roadway neat present condit throughout entir length work contract,1
shape dress area adjac project right way use plant site materi storag area equip yard longer need purpos,1
coordin subsequ submitt construct schedul allow suffici time review approv submitt necessari,1
contractor approv stamp date initi applic document shall sign seal specialti engin contractor engin record appropri,1
shop draw shall submit portabl document format pdf file format inch inch sheet,1
prepar document use unit measur contract plan includ tabl content cover sheet,0
submit appropri prepar check calcul manual clearli outlin design criteria,1
clearli label trade literatur catalogu inform front cover titl financi project identif number date name firm person respons document,0
preconstruct confer depart notifi contractor write chang submitt path whether depart consult review stamp signifi offici review shop draw,1
depart submit shop draw consult resid engin request appropri depart shop draw review offic,1
shop draw applic calcul must sign seal specialti engin,0
upon complet work depart accept work make final payment remov right way adjac properti falsework equip surplu discard materi rubbish temporari structur restor accept manner properti public privat damag prosecut work leav waterway unobstruct roadway neat present condit throughout entir length work contract,1
shape dress area adjac project right way use plant site materi storag area equip yard longer need purpos,1
coordin subsequ submitt construct schedul allow suffici time review approv submitt necessari,1
contractor approv stamp date initi applic document shall sign seal specialti engin contractor engin record appropri,1
shop draw shall submit portabl document format pdf file format inch inch sheet,1
prepar document use unit measur contract plan includ tabl content cover sheet,0
