clauses,label
form falsework cast place non bridg concret structur retain wall less equal feet meter height fabric draw bridg rail parapet fabric draw prestress member fabric instal draw expans joint assembl fabric draw bear assembl construct joint locat concret deck placement sequenc accord plan erect diagram soil corrug metal structur interact system multi plate structur structur steel fabric draw util hangar detail fabric instal draw precast item site specif layout rockeri,1
format prepar construct schedul diagram support document follow titl page header block compon time scale logic diagram tabular schedul written narr submitt list contract number project number project name contractor name current fix complet date date submitt submitt number schedul diagram use activ arrow diagram method adm preced diagram method pdm depict order interdepend activ sequenc work accomplish contractor coordin subcontractor show complet predecessor activ restrict start successor activ,1
record follow set notifi co water pressur gaug water usag gallon liter per minut machin stage control step feet meter per minut forward travel nozzl size nozzl speed revolut per minut transvers nozzl travel speed applic hydrodemolit nozzl fix move transvers track stop stage next step report transvers nozzl travel speed feet meter per second effect pass width hydrodemolit unit effect pass width defin width hydrodemolit uniform pressur water dwell time per machin stage control step report effect width feet meter,1
instal ground anchor evalu base one follow perform proof test result minut hold ground anchor carri maximum test load less inch millimet movement minut total movement maximum test load exce percent theoret elast elong unbond length minut hold conduct minut hold test fail ground anchor carri maximum test load movement rate exceed inch millimet per log cycl time total movement maximum test load exce percent theoret elast elong unbond length,1
measur structur excav cubic yard cubic meter origin posit includ follow volum structur excav materi excav outsid vertic plane locat inch millimet outsid parallel limit foot foundat materi includ within stake limit excav contigu channel chang ditch measur cover section water liquid materi materi excav measur origin ground materi handl except contract specif requir excav embank placement excav cofferdam seal,1
first layer placement compact end dump backfil materi onto geotextil geogrid edg geosynthet previous place cover materi oper equip directli geosynthet spread end dump pile cover materi maintain inch millimet lift geosynthet avoid sudden stop start turn construct equip fill rut construct equip addit cover materi blade materi remov rut rut exce inch millimet placement decreas construct equip size decreas equip weight increas first lift thick direct co,0
shore system support traffic load bridg concret form includ deck form except rail parapet compon less feet meter height contain structur bridg work girder erect plan partial demolit structur bridg element post tension system concret box culvert headwal detail reinforc soil slope detail ground anchor soil nail rock bolt driven pile drill shaft micropil assembl detail layout instal test procedur mse tie back wall detail altern retain wall detail detail instal procedur proprietari wall system,1
elev view structur show elev station horizont vertic break point least everi feet meter along top structur face elev station top level pad foot top tip pile least everi feet meter along structur base length type reinforc anchorag structur modul lag distanc elev along structur face step base foot level pad lag distanc along structur face chang reinforc anchor length occur construct joint origin final ground line,1
maintain roadway work maintain roadway follow construct remov divers road bridg requir traffic control plan maintain intersect trail road street busi park lot resid garag farm featur snow remov facilit work contractor respons snow remov provid public access respons maintain agenc perform maintain agenc discret allow maintain agenc access perform snow remov maintain dust free travel way visibl air qualiti affect hazard condit creat,1
free stress length polyethylen plastic tube conform astm type ii iii iv minimum wall thick mil millimet hot melt extrud polypropylen tube conform astm cell classif pp minimum wall thick mil millimet hot melt extrud polyethylen tube conform astm astm type iii high densiti minimum wall thick mil millimet steel tube conform astm minimum wall thick inch millimet steel pipe conform astm schedul minimum plastic pipe conform astm schedul minimum,0
propos drill hole clean prepar reinforc concret placement equip procedur ground condit expect encount provid specif shaft drill concret procedur mitig problem associ ground water surfac water bodi demonstr understand subsurfac condit site referenc avail subsurfac data provid contract bore log indic procedur minim disturb construct site overlay adjac structur servic discuss potenti drill difficulti indic method tool use remov obstruct excav,1
fabric fullsiz sampl guardwal provid specifi locat fabric guardwal match sampl shape color textur follow fabric facil certifi nation precast concret associ npca accord npca manual qualiti control precast prestress concret plant formul face mix back mix structur concret backup produc concret mix design similar aggregatec ratio minim differ shrinkag factor coeffici thermal expans contract formul concret mixtur accord subsect match approv sampl,1
furnish place form panel expos surfac uniform width less inch millimet uniform length less feet meter except width member form less inch millimet arrang panel symmetr pattern conform gener line structur place panel vertic surfac long dimens horizont horizont joint level continu place panel long dimens parallel foot wall slope foot abut wall align form panel side panel joint support fasten common panel,1
mix paint accord manufactur recommend mix paint mechan mixer suffici time thoroughli blend pigment solvent togeth continu mix applic thin paint formul readi applic strain paint mix except applic equip provid strainer use strainer size remov skin undesir matter remov pigment skin form contain cut skin loos side contain remov discard volum skin visual estim percent remain paint discard paint,1
mill machin selfpropel suffici power traction stabil accur maintain depth cut capabl remov pavement thick provid profil cross slope automat system control grade elev referenc exist pavement mean ski match shoe independ grade control automat system maintain cross slope system effect limit dust particul matter escap remov oper load system adequ support equip complet recov mill materi remov rate cut width equal least onethird lane width,1
submitt submit follow approv least day instal pave geotextil product certif geotextil accord subsect includ name manufactur product name style number inch millimet sampl beyond first outer wrap roll label sampl lot batch number date sampl project number item number manufactur product name manufactur recommend asphalt binder applic rate base field condit geotextil asphalt retent properti plan oper instal geotextil,1
fine aggreg concret furnish sand conform aashto class except amend supplement follow materi pass siev aashto percent max alkali silica reactiv test aggreg alkali silica reaction conform one follow alkali silica reactiv cementiti materi astm perform approv mix design mass percent combin use lithium compound mitig measur alkali silica reaction astm alkali silica reaction cementiti materi astm perform approv mix design mass percent combin,1
instal steel csl access tube drill shaft locat specifi accord astm extend access tube least inch millimet shaft top maximum inch millimet shaft bottom use inch millimet nomin diamet schedul mild steel standard black pipe conform astm grade type type type csl access tube provid watertight end plug lower end pipe make joint watertight fill csl access tube potabl water place concret drill shaft temporarili cap top tube prevent debri concret enter tube,1
short grip bolt perform calibr wrench verif test use direct tension indic solid plate check direct tension indic longer grip bolt tension measur devic test short grip bolt conform subsect applic confirm test frequenc number test test procedur provid document annual test approv test agenc confirm accuraci tension measur devic instal fasten specifi washer properli align hole tension use method subsect minimum tension specifi tabl,1
