clauses,label
inform must submit least month bid due via work underway link contractor pre qualif system,1
obtain certif construct industri licens board requir part chapter florida statut regardless exempt allow,1
submit copi agreement document,0
determin quantiti type equip work necessari select produc accept materi,1
dirt plant foreign materi remov dirt plant foreign materi vehicl equip mobil work site,0
compon consid shall also includ relat member transfer load bridg structur,1
sampl materi certif form avail depart websit follow url,0
payment progress estim adjust reflect adjust,0
depart shall notifi write within ten day cancel notic cancel laps renew propos chang polici coverag describ herein,1
chang made contractor notifi write notif find due addit review,1
titl page header block contract number project number name contractor name current fix complet date date submitt consecut number analysi,0
typic section sheet revis dimens revis materi revis station rang revis begin end station project strikeout schedul option award,0
equal employ opportun commiss eeoc equal opportun law poster accord far claus equal opportun,0
addit sole discret depart may waiv prequalif requir contract less,1
engin written author set forth suffici work inform allow work begin,0
undertak signific expenditur submit written descript valu engin chang propos vecp concept,1
partial payment made materi stockpil prior award contract project,0
util reloc adjust govern notifi util owner affect reloc adjust,1
strikeout detail shown applic complet work,0
requir type fuel pay item estim multipli depart standard fuel factor pay item quantiti pay item,1
fm exist particular test perform test accord method specifi specif,0
statist evalu variabl unknown standard deviat method use determin estim percentag lot within specif limit,0
contractor disagre delinqu contractor shall file request administr hear clerk agenc proceed within ten day receipt notic intent suspend,1
sourc suppli convict labor feder aid contract use materi produc juli convict labor feder aid highway construct project unless prison facil produc convict made materi feder aid highway construct project juli,0
indemnif agreement effect contractor immedi stop work notifi depart contamin materi pollut problem,1
owner approv area use,1
prosecut work give work constant attent necessari ensur schedul progress cooper fulli engin contractor work vicin,1
coverag afford depart addit insur shall primari avail insur shall restrict coverag afford name insur,1
falsework structur height exceed feet meter,0
depart reserv right requir contractor engin record assum respons design entir structur,1
product may resum contractor take effect accept action improv qualiti product,1
term qualifi product list qpl appear contract document synonym approv product list apl,1
use leas employe employe obtain profession employ organ peo ensur employe cover worker compens insur peo leas entiti,0
materi sampl may obtain laboratori test complianc qualiti requir allow full entri time part plant produc work,1
depart may requir engin analys perform prequalifi consult applic class work,1
contractor equip bridg structur contractor engin record shall analyz effect impos load bridg structur within limit construct contract result follow oper,1
depart reimburs railroad compani cost thereof,0
make arrang work due method oper may also impact railroad,1
withhold payment defect work depart discov defect work materi prior final accept depart reason doubt integr part complet work prior final accept depart allow payment defect question work contractor remedi defect remov caus doubt,1
submit accord requir,1
depart websit can not access contact depart specif offic web coordin,0
keep area orderli condit dispos refus obtain permit construct instal mainten construct camp live quarter store warehous sanitari facil structur accord requir forest park offici,1
compli make good faith effort ensur employ opportun minor femal accord requir contract provis feder aid construct contract,1
expressli understood monetari limit extent indemnif shall approv contract amount shall origin contract amount may modifi subsequ supplement agreement,1
time certif condit preced right contractor recov compens cost failur time submit certif constitut full complet absolut irrevoc waiver contractor right recov cost,1
ensur insecticid herbicid appli accord chapter florida administr code,0
gener wage decis contain contract,0
depart make payment contractor requir proof registr file depart,1
depart consid contract complet contractor complet work depart accept work,1
updat plan necessari construct notifi depart chang,1
disput resolut board state arbitr board claim review committe proceed settlement discuss purpos provis,0
